candidate_id,name,slug,domain,source,source_url,source_id,type_guess,status_guess,hei_existing_check,decision,notes,generated_at
hei_unadded_0312,Capricorn,capricorn,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,capricorn,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Monad,2026-06-11T02:37:49.704Z
hei_unadded_0313,Capricorn Finance,capricorn-finance,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,capricorn-finance,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Cube,2026-06-11T02:37:49.704Z
hei_unadded_0314,Capybara Dexs,capybara-dexs,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,capybara-dexs,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Kaia,2026-06-11T02:37:49.704Z
hei_unadded_0315,CapybaraDEX V2,capybaradex-v2,capybara.exchange,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=4,capybaradex-v2,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=795,2026-06-11T02:37:49.704Z
hei_unadded_0316,Carbon Defi,carbon-defi,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,carbon-defi,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Ethereum|Sei|Coti|Celo|TAC,2026-06-11T02:37:49.704Z
hei_unadded_0317,Carbon DeFi (Celo),carbon-celo,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,carbon-celo,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0318,Carbon DeFi (Celo),carbon-defi-celo,celo.carbondefi.xyz,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=3,carbon-defi-celo,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=722,2026-06-11T02:37:49.704Z
hei_unadded_0319,Carbon Defi (Ethereum),carbon,carbondefi.xyz,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=3,carbon,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=575,2026-06-11T02:37:49.704Z
hei_unadded_0320,Carbon DeFi (Ethereum),carbon-ethereum,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,carbon-ethereum,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0321,Carbon DeFi (Sei),carbon-sei,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,carbon-sei,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
